,LOSS (%),group,E,Cap,group
0,25.120995,1,0.06,0.12,1
1,24.051369,2,0.12,0.12,2
2,22.194149,3,0.24,0.12,3
3,20.730314,4,0.36,0.12,4
4,19.663515,5,0.48,0.12,5
5,28.639395,6,2.2,4.4,6
6,25.219358,7,4.4,4.4,7
7,21.156813,8,8.8,4.4,8
8,19.27827,9,13.200000000000001,4.4,9
9,18.064058,10,17.6,4.4,10
10,27.308647,11,4.34,8.68,11
11,23.39097,12,8.68,8.68,12
12,20.972654,13,17.36,8.68,13
13,19.160217,14,26.04,8.68,14
14,17.407711,15,34.72,8.68,15
15,28.203085,16,6.48,12.96,16
16,25.733223,17,12.96,12.96,17
17,22.204386,18,25.92,12.96,18
18,19.031805,19,38.88,12.96,19
19,16.951952,20,51.84,12.96,20
20,30.579145,21,8.615,17.23,21
21,28.211678,22,17.23,17.23,22
22,23.663128,23,34.46,17.23,23
23,19.580456,24,51.69,17.23,24
24,16.906727,25,68.92,17.23,25
25,32.428226,26,10.755,21.51,26
26,29.031662,27,21.51,21.51,27
27,24.21154,28,43.02,21.51,28
28,19.86922,29,64.53,21.51,29
29,17.111158,30,86.04,21.51,30
30,33.527855,31,12.895,25.79,31
31,28.97319,32,25.79,25.79,32
32,23.738588,33,51.58,25.79,33
33,19.735313,34,77.37,25.79,34
34,17.214615,35,103.16,25.79,35
35,34.548386,36,15.03,30.06,36
36,28.381592,37,30.06,30.06,37
37,22.672016,38,60.12,30.06,38
38,19.182796,39,90.17999999999999,30.06,39
39,17.841103,40,120.24,30.06,40
40,34.99705,41,17.17,34.34,41
41,27.478977,42,34.34,34.34,42
42,21.808033,43,68.68,34.34,43
43,19.075394,44,103.02000000000001,34.34,44
44,18.879042,45,137.36,34.34,45
45,35.51154,46,19.31,38.62,46
46,26.598192,47,38.62,38.62,47
47,21.299885,48,77.24,38.62,48
48,18.973358,49,115.85999999999999,38.62,49
49,19.824612,50,154.48,38.62,50
50,36.236717,51,21.445,42.89,51
51,25.904472,52,42.89,42.89,52
52,20.880161,53,85.78,42.89,53
53,18.849337,54,128.67000000000002,42.89,54
54,20.841738,55,171.56,42.89,55
55,36.83503,56,23.585,47.17,56
56,25.319157,57,47.17,47.17,57
57,20.361477,58,94.34,47.17,58
58,19.105293,59,141.51,47.17,59
59,21.979446,60,188.68,47.17,60
60,37.372215,61,25.725,51.45,61
61,24.706854,62,51.45,51.45,62
62,20.03478,63,102.9,51.45,63
63,19.376446,64,154.35000000000002,51.45,64
64,23.193863,65,205.8,51.45,65
65,37.6762,66,27.86,55.72,66
66,23.940523,67,55.72,55.72,67
67,19.910904,68,111.44,55.72,68
68,19.381313,69,167.16,55.72,69
69,24.448488,70,222.88,55.72,70
70,37.336258,71,30.0,60.0,71
71,22.761063,72,60.0,60.0,72
72,19.807673,73,120.0,60.0,73
73,19.283476,74,180.0,60.0,74
74,25.37625,75,240.0,60.0,75
